学号,知识点id,分数
223401050218,1,-1
223401050219,1,-1
223401050220,1,-1
223401050221,1,-1
223401050222,1,-1
223401050223,1,-1
223401050224,1,-1
223401050225,1,-1
223401050226,1,-1
223401050227,1,-1
223401050228,1,-1
223401050229,1,-1
223401050230,1,-1
223401050231,1,-1
223401050232,1,-1
223401050233,1,-1
223401050234,1,-1
223401050235,1,-1
223405010213,1,-1
223406010708,1,-1
223406010709,1,-1
223407020133,1,-1
223407020218,1,-1
223408110202,1,-1
223409010210,1,-1
223411010109,1,-1
223411010111,1,-1
223411010232,1,-1
223411020111,1,-1
223411070102,1,-1
223412010212,1,-1
223423050108,1,-1
223423050133,1,-1
223428020104,1,-1
223428020136,1,-1
223428030201,1,-1
223428060112,1,-1
223428060201,1,-1
223428060202,1,-1
223428060218,1,-1
183423050114,3,-1
193401010122,3,-1
203401050130,3,-1
203406010614,3,-1
203409010318,3,-1
213401010106,3,-1
213401040108,3,-1
213401050132,3,-1
213401050217,3,-1
213401050227,3,-1
213401050230,3,-1
213412010226,3,-1
213428030211,3,-1
213428040133,3,-1
213428040214,3,-1
223401010101,3,-1
223401010102,3,-1
223401010103,3,-1
223401010104,3,-1
223401010105,3,-1
223401010106,3,-1
223401010107,3,-1
223401010108,3,-1
223401010109,3,-1
223401010110,3,-1
223401010112,3,-1
223401010113,3,-1
223401010114,3,-1
223401010115,3,-1
223401010116,3,-1
223401010117,3,-1
223401010118,3,-1
223401010119,3,-1
223401010120,3,-1
223401010121,3,-1
223401010122,3,-1
223401010123,3,-1
223401010124,3,-1
223401010125,3,-1
223401010126,3,-1
223401010127,3,-1
223401010128,3,-1
223401010129,3,-1
223401010130,3,-1
223401010131,3,-1
223401010132,3,-1
223401010133,3,-1
223401010134,3,-1
223401010136,3,-1
223401010137,3,-1
223401010138,3,-1
223401010140,3,-1
223401010201,3,-1
223401010202,3,-1
223401010203,3,-1
223401010204,3,-1
223401010205,3,-1
223401010206,3,-1
223401010207,3,-1
223401010208,3,-1
223401010209,3,-1
223401010210,3,-1
223401010211,3,-1
223401010212,3,-1
223401010214,3,-1
223401010215,3,-1
223401010216,3,-1
223401010217,3,-1
223401010218,3,-1
223401010219,3,-1
223401010220,3,-1
223401010221,3,-1
223401010222,3,-1
223401010223,3,-1
223401010224,3,-1
223401010225,3,-1
223401010226,3,-1
223401010227,3,-1
223401010228,3,-1
223401010229,3,-1
223401010230,3,-1
223401010231,3,-1
223401010232,3,-1
223401010233,3,-1
223401010234,3,-1
223401010235,3,-1
223401010236,3,-1
223401010237,3,-1
223401010238,3,-1
223401010301,3,-1
223401010302,3,-1
223401010303,3,-1
223401010304,3,-1
223401010305,3,-1
223401010306,3,-1
223401010307,3,-1
223401010308,3,-1
223401010310,3,-1
223401010311,3,-1
223401010312,3,-1
223401010313,3,-1
223401010314,3,-1
223401010315,3,-1
223401010316,3,-1
223401010317,3,-1
223401010318,3,-1
223401010319,3,-1
223401010320,3,-1
223401010321,3,-1
223401010322,3,-1
223401010323,3,-1
223401010324,3,-1
223401010325,3,-1
223401010326,3,-1
223401010327,3,-1
223401010328,3,-1
223401010329,3,-1
223401010330,3,-1
223401010331,3,-1
223401010332,3,-1
223401010334,3,-1
223401010335,3,-1
223401010401,3,-1
223401010402,3,-1
223401010403,3,-1
223401010404,3,-1
223401010405,3,-1
223401010406,3,-1
223401010407,3,-1
223401010408,3,-1
223401010409,3,-1
223401010410,3,-1
223401010411,3,-1
223401010412,3,-1
223401010413,3,-1
223401010414,3,-1
223401010415,3,-1
223401010416,3,-1
223401010417,3,-1
223401010418,3,-1
223401010419,3,-1
223401010420,3,-1
223401010421,3,-1
223401010422,3,-1
223401010423,3,-1
223401010424,3,-1
223401010425,3,-1
223401010426,3,-1
223401010427,3,-1
223401010428,3,-1
223401010429,3,-1
223401010430,3,-1
223401010431,3,-1
223401010432,3,-1
223401010433,3,-1
223401010434,3,-1
223401010435,3,-1
223401040101,3,-1
223401040102,3,-1
223401040103,3,-1
223401040104,3,-1
223401040105,3,-1
