学号,知识点id,年份,分数
223401010405,1777575459425492992,2023-2024,-1
223401010406,1777575459425492992,2023-2024,-1
223401010407,1777575459425492992,2023-2024,-1
223401010408,1777575459425492992,2023-2024,-1
223401010409,1777575459425492992,2023-2024,-1
223401010410,1777575459425492992,2023-2024,-1
223401010411,1777575459425492992,2023-2024,-1
223401010412,1777575459425492992,2023-2024,-1
223401010413,1777575459425492992,2023-2024,-1
223401010414,1777575459425492992,2023-2024,-1
223401010415,1777575459425492992,2023-2024,-1
223401010416,1777575459425492992,2023-2024,-1
223401010417,1777575459425492992,2023-2024,-1
223401010418,1777575459425492992,2023-2024,-1
223401010419,1777575459425492992,2023-2024,-1
223401010420,1777575459425492992,2023-2024,-1
223401010421,1777575459425492992,2023-2024,-1
223401010422,1777575459425492992,2023-2024,-1
223401010423,1777575459425492992,2023-2024,-1
223401010424,1777575459425492992,2023-2024,-1
223401010425,1777575459425492992,2023-2024,-1
223401010426,1777575459425492992,2023-2024,-1
223401010427,1777575459425492992,2023-2024,-1
223401010428,1777575459425492992,2023-2024,-1
223401010429,1777575459425492992,2023-2024,-1
223401010430,1777575459425492992,2023-2024,-1
223401010431,1777575459425492992,2023-2024,-1
223401010432,1777575459425492992,2023-2024,-1
223401010433,1777575459425492992,2023-2024,-1
223401010434,1777575459425492992,2023-2024,-1
223401010435,1777575459425492992,2023-2024,-1
223401040101,1777575459425492992,2023-2024,-1
223401040102,1777575459425492992,2023-2024,-1
223401040103,1777575459425492992,2023-2024,-1
223401040104,1777575459425492992,2023-2024,-1
223401040105,1777575459425492992,2023-2024,-1
223401040106,1777575459425492992,2023-2024,-1
223401040107,1777575459425492992,2023-2024,-1
223401040108,1777575459425492992,2023-2024,-1
223401040109,1777575459425492992,2023-2024,-1
223401040110,1777575459425492992,2023-2024,-1
223401040111,1777575459425492992,2023-2024,-1
223401040112,1777575459425492992,2023-2024,-1
223401040113,1777575459425492992,2023-2024,-1
223401040114,1777575459425492992,2023-2024,-1
223401040115,1777575459425492992,2023-2024,-1
223401040116,1777575459425492992,2023-2024,-1
223401040117,1777575459425492992,2023-2024,-1
223401040118,1777575459425492992,2023-2024,-1
223401040119,1777575459425492992,2023-2024,-1
223401040120,1777575459425492992,2023-2024,-1
223401040121,1777575459425492992,2023-2024,-1
223401040122,1777575459425492992,2023-2024,-1
223401040123,1777575459425492992,2023-2024,-1
223401040124,1777575459425492992,2023-2024,-1
223401040125,1777575459425492992,2023-2024,-1
223401040126,1777575459425492992,2023-2024,-1
223401040127,1777575459425492992,2023-2024,-1
223401040128,1777575459425492992,2023-2024,-1
223401040129,1777575459425492992,2023-2024,-1
223401040130,1777575459425492992,2023-2024,-1
223401040131,1777575459425492992,2023-2024,-1
223401040132,1777575459425492992,2023-2024,-1
223401040133,1777575459425492992,2023-2024,-1
223401040134,1777575459425492992,2023-2024,-1
223401040135,1777575459425492992,2023-2024,-1
223401040201,1777575459425492992,2023-2024,-1
223401040202,1777575459425492992,2023-2024,-1
223401040203,1777575459425492992,2023-2024,-1
223401040204,1777575459425492992,2023-2024,-1
223401040205,1777575459425492992,2023-2024,-1
