学号,知识点id,年份,分数
173401010209,1777575459425492992,2022-2023,-1
183409010214,1777575459425492992,2022-2023,-1
193401010124,1777575459425492992,2022-2023,-1
193401010125,1777575459425492992,2022-2023,-1
193401010212,1777575459425492992,2022-2023,-1
193401010232,1777575459425492992,2022-2023,-1
193401050118,1777575459425492992,2022-2023,-1
193401050125,1777575459425492992,2022-2023,-1
193401050127,1777575459425492992,2022-2023,-1
193401050216,1777575459425492992,2022-2023,-1
193411070215,1777575459425492992,2022-2023,-1
203401010116,1777575459425492992,2022-2023,-1
203401010119,1777575459425492992,2022-2023,-1
203401010127,1777575459425492992,2022-2023,-1
203401010128,1777575459425492992,2022-2023,-1
203401010129,1777575459425492992,2022-2023,-1
203401010201,1777575459425492992,2022-2023,-1
203401010230,1777575459425492992,2022-2023,-1
203406040212,1777575459425492992,2022-2023,-1
203417020104,1777575459425492992,2022-2023,-1
203417020129,1777575459425492992,2022-2023,-1
213401010101,1777575459425492992,2022-2023,-1
213401010102,1777575459425492992,2022-2023,-1
213401010103,1777575459425492992,2022-2023,-1
213401010104,1777575459425492992,2022-2023,-1
213401010105,1777575459425492992,2022-2023,-1
213401010106,1777575459425492992,2022-2023,-1
213401010107,1777575459425492992,2022-2023,-1
213401010108,1777575459425492992,2022-2023,-1
213401010109,1777575459425492992,2022-2023,-1
213401010110,1777575459425492992,2022-2023,-1
213401010111,1777575459425492992,2022-2023,-1
213401010112,1777575459425492992,2022-2023,-1
213401010113,1777575459425492992,2022-2023,-1
213401010114,1777575459425492992,2022-2023,-1
213401010115,1777575459425492992,2022-2023,-1
213401010116,1777575459425492992,2022-2023,-1
213401010117,1777575459425492992,2022-2023,-1
213401010118,1777575459425492992,2022-2023,-1
213401010119,1777575459425492992,2022-2023,-1
213401010120,1777575459425492992,2022-2023,-1
213401010121,1777575459425492992,2022-2023,-1
213401010122,1777575459425492992,2022-2023,-1
213401010123,1777575459425492992,2022-2023,-1
213401010124,1777575459425492992,2022-2023,-1
213401010125,1777575459425492992,2022-2023,-1
213401010126,1777575459425492992,2022-2023,-1
213401010127,1777575459425492992,2022-2023,-1
213401010128,1777575459425492992,2022-2023,-1
213401010129,1777575459425492992,2022-2023,-1
213401010130,1777575459425492992,2022-2023,-1
213401010131,1777575459425492992,2022-2023,-1
213401010132,1777575459425492992,2022-2023,-1
213401010133,1777575459425492992,2022-2023,-1
213401010134,1777575459425492992,2022-2023,-1
213401010135,1777575459425492992,2022-2023,-1
213401010201,1777575459425492992,2022-2023,-1
213401010202,1777575459425492992,2022-2023,-1
213401010203,1777575459425492992,2022-2023,-1
213401010204,1777575459425492992,2022-2023,-1
213401010205,1777575459425492992,2022-2023,-1
213401010206,1777575459425492992,2022-2023,-1
213401010207,1777575459425492992,2022-2023,-1
213401010208,1777575459425492992,2022-2023,-1
213401010209,1777575459425492992,2022-2023,-1
213401010210,1777575459425492992,2022-2023,-1
213401010211,1777575459425492992,2022-2023,-1
213401010212,1777575459425492992,2022-2023,-1
213401010213,1777575459425492992,2022-2023,-1
213401010214,1777575459425492992,2022-2023,-1
213401010215,1777575459425492992,2022-2023,-1
213401010216,1777575459425492992,2022-2023,-1
213401010217,1777575459425492992,2022-2023,-1
213401010218,1777575459425492992,2022-2023,-1
213401010219,1777575459425492992,2022-2023,-1
213401010220,1777575459425492992,2022-2023,-1
213401010221,1777575459425492992,2022-2023,-1
213401010222,1777575459425492992,2022-2023,-1
213401010223,1777575459425492992,2022-2023,-1
213401010224,1777575459425492992,2022-2023,-1
213401010225,1777575459425492992,2022-2023,-1
213401010226,1777575459425492992,2022-2023,-1
213401010227,1777575459425492992,2022-2023,-1
213401010228,1777575459425492992,2022-2023,-1
213401010229,1777575459425492992,2022-2023,-1
213401010230,1777575459425492992,2022-2023,-1
213401010231,1777575459425492992,2022-2023,-1
213401010232,1777575459425492992,2022-2023,-1
213401010233,1777575459425492992,2022-2023,-1
213401010234,1777575459425492992,2022-2023,-1
213401010235,1777575459425492992,2022-2023,-1
213401010302,1777575459425492992,2022-2023,-1
213401010303,1777575459425492992,2022-2023,-1
213401010304,1777575459425492992,2022-2023,-1
213401010305,1777575459425492992,2022-2023,-1
213401010306,1777575459425492992,2022-2023,-1
213401010307,1777575459425492992,2022-2023,-1
213401010308,1777575459425492992,2022-2023,-1
213401010309,1777575459425492992,2022-2023,-1
213401010310,1777575459425492992,2022-2023,-1
213401010311,1777575459425492992,2022-2023,-1
213401010312,1777575459425492992,2022-2023,-1
213401010313,1777575459425492992,2022-2023,-1
